,screen name,mentions
0,CaroChirps,saturnberries
1,opininginplay,iorverth
2,gallifreyboy12,cryades
3,sockablock,voiceofobrien
4,MoreyRayne,"brianwfoster, criticalrole"
5,DavidCasciola,
6,sockablock,talksmachina
7,PeteDickson,laurabaileyvo
8,opininginplay,kroovv
9,sockablock,marisha_ray
10,Drgnfly42,migluzart
11,sockablock,"pxelslayer, marisha_ray"
12,ravagerrepo,jason_bender
13,KHaynes81,kickstarter
14,TKayParty,saturnberries
15,Talix,toddkenreck
16,sockablock,ioanamuresanart
17,opininginplay,wimtbh
18,AndyAndinoJr,kellyjoule
19,Jake_Lo,criticalrole
20,CoulterTrey,kellyjoule
21,ultimate_welder,"pandoodraws, willingblam, laurabaileyvo"
22,MATTi_i,"gfitchy, dicerainstrider, marcusopera, variety, tallsquall, criticalrole, netflix"
23,x3missary,"talksmachina, criticalrole"
24,CouldWoodShould,"variety, criticalrole"
25,Ahsoka323,larn_draws
26,consortkingdom1,"ajillustrate, talksmachina"
27,PostersSh1t,
28,spittinglizards,__cirice
29,anahitiscool,alienfirst
30,LillyHellpop,
31,CPansophical,
32,Roleplayers_TV,"criticalrole, hyperxesalv"
33,MrsDotts,criticalrole
34,melodychiart,xapplesodax
35,TKayParty,sketchingsprw
36,AndyAndinoJr,"samriegel, mst3k"
37,AndyAndinoJr,voiceofobrien
38,ultimate_welder,siriusdraws
39,LillyHellpop,lillyhellpop
40,scottieOs,"rebeccacjo, dndbeyond, voiceo"
41,SeiyuuKurutta,migluzart
42,PenOfSmiting,
43,kwansbf,matthewmercer
44,dragonathi,
45,SuperGeek514,nikkidawesdraws
46,SeiyuuKurutta,rlinarts
47,Russell_Wellons,marisha_ray
48,DJ_chilln,ok_cosplay
49,HallitheDM,nikkidawesdraws
50,BasuraSiempre,sunnyonice
51,jessicritical,"jmeezy0714, voiceofobrien, samriegel, criticalrole"
52,GR3M71N,
53,arielleG,
54,DJ_chilln,"aireveart, voiceofobrien, laurabaileyvo"
55,Clementizzle,karekareo
56,DJ_chilln,ioanamuresanart
57,Adaser,quietsnooze
58,partridgequill,"ghost_9971, greenroninpub, matthewmercer, jamesjhaeck, criticalrole"
59,yee_dare,laurabaileyvo
60,JunklordGaming,"variety, criticalrole"
61,opininginplay,shojo_nosferatu
62,Clementizzle,sunnyonice
63,OtakuMutt,
64,BrigittevRossum,"criticalrole, willingblam, matthewmercer"
65,goth_jester,"mellifluious, laurabaileyvo, marisha_ray"
66,Talix,"variety, criticalrole"
67,r3aprat,kvkki
68,opininginplay,galogenida
69,XiggyMatsu,"justinmcelroy, criticalrole"
70,DJ_chilln,rlinarts
71,thranduilien,joric_art
72,opininginplay,arsequeef
73,DarkAngelBeesh,zaceubank
74,2ndYoda,xapplesodax
75,cupcakeszombie,migluzart
76,thranduilien,ioanamuresanart
77,HungChukNorris,daisygardnercos
78,Engwar4evr,"criticalrole, matthewmercer"
79,opininginplay,ioanamuresanart
80,DJ_chilln,"c_dobbins, sketchingsprw"
81,HVNSNTSOLDIER,migluzart
82,cupcakeszombie,auburnowlart
83,PatientlyRaging,voiceofobrien
84,foresthuntress3,"mellifluious, laurabaileyvo, marisha_ray"
85,cupcakeszombie,psyk0zap
86,Clementizzle,kellyjoule
87,cupcakeszombie,estevao_pb
88,ashinanfandom,deerlordhunter
89,CritRoleFanart,penofsmiting
90,CritRoleFanart,arielleg
91,Leravel_Luna,"brianwfoster, criticalrole"
92,happypirateblog,deerlordhunter
93,Ohdinravenwood,migluzart
94,MythicalMagpie,kellyjoule
95,Gallifrey4637,"variety, criticalrole"
96,TheMarcViews,iika_4you
97,planetstriders,larn_draws
98,croutean,rlinarts
99,Taakotxt,voiceofobrien
100,gallifreyboy12,sashthesloth
101,EtoEWanders,"jmdornbush, ign"
102,croutean,cobgoblin
103,Taakotxt,kellyjoule
104,bo0lien,
105,BrookeTF,voiceofobrien
106,The_TBoyce,cpansophical
107,EmikayeOfficial,sunnyonice
108,happypirateblog,fl0werb0ys
109,EncounterJoshua,"roleplayers_tv, criticalrole, hyperxesalv"
110,slytherin42,"rebeccacjo, dndbeyond, voiceo"
111,AlexanderCrain6,dingodoodles
112,Patcho418,megzilla87
113,RobbyBloom5,rlinarts
114,happypirateblog,"scottbrianwoods, matthewmercer, willingblam"
115,DJ_chilln,galacticjonah
116,Nubsta5,"skywilliams, matthewmercer, criticalrole"
117,ani_x3_,ruushes
118,Clementizzle,maryneelahaye
119,DJ_chilln,saturnberries
120,ZeroAggro,pearlbaecosplay
121,TobascoH,orcbarbies
122,TheKoontzy,orcbarbies
123,DJ_chilln,zephyri
124,heroandvillian,matthewmercer
125,MikeM_YEG,"criticalrole, willingblam, matthewmercer, criticalrole"
126,Russell_Wellons,talksmachina
127,CircleSquid,"criticalrole, takayuuki_art"
128,conceptofdog,larn_draws
129,PatientlyRaging,voiceofobrien
130,kylermartin1,voiceofobrien
131,heroandvillian,"arsequeef, voiceofobrien, samriegel"
132,KairosMalificus,
133,opininginplay,megzilla87
134,The__Fixx,
135,CharlotteLStu,pukaparade
136,DranSilversting,"ajillustrate, talksmachina"
137,OhLookItsBent,kellyjoule
138,AbbySteich,"roleplayers_tv, criticalrole, hyperxesalv"
139,happypirateblog,rlinarts
140,sometimesemilie,migluzart
141,PatientlyRaging,"samriegel, mst3k"
142,BardRooRoo,wizards_dnd
143,MSaarhelo,"nitessine, criticalrole"
144,TheKoontzy,aimoahmed
145,asphaloth,larn_draws
146,PatientlyRaging,jennifermuro
147,lucatheninja,voiceofobrien
148,Drgnfly42,"demarcodraws, matthewmercer"
149,TheKoontzy,ioanamuresanart
150,DJ_chilln,larn_draws
151,midimidna,migluzart
152,chloe_fairy1,ioanamuresanart
153,repeatingprayer,rlinarts
154,LiarCakemixx,rlinarts
155,PeachyIcedTea,sunnyonice
156,moofable,rlinarts
157,AngelTo59419954,criticalrole
158,TessFowler,
159,weirdgrossnerd1,"justinmcelroy, criticalrole"
160,opininginplay,"rabdoidal, asoftersea"
161,PatientlyRaging,matthewmercer
162,baedenfield1,
163,ThisDarkestLove,daisygardnercos
164,the_gnome_nyx,
165,domacastle,rlinarts
166,PatDMatthews,samriegel
167,thewanh3da,kelly_knox
168,Tyghe_Bright,zephyri
169,VriskaChat,orcbarbies
170,TeamHooman,"criticalrole, feliciaday, thevulcansalute"
171,Ishamarus,sunnyonice
172,The_Cinder_King,matthewmercer
173,DicePriori,matthewwforeman
174,DJ_chilln,"jessolaurus, daniellegrace__, willingblam, criticalrole"
175,windrivver,
176,TheKoontzy,therequiemman
177,DJ_chilln,blacksalander
